id,name_en,name_ru,iba_category,ingredients_json,ingredients_raw,instructions_en,instructions_ru,garnish,glass,abv_estimate,preparation_time_minutes,taste_tags,taste_description_ru,image_url,source
tommys-margarita,Tommy's Margarita,,New Era Drinks,"[{""name"": ""Tequila Agave 100% Reposado"", ""amount"": ""60"", ""unit"": ""ml"", ""note"": """", ""direction"": ""60 ml Tequila Agave 100% Reposado"", ""raw"": ""60 ml Tequila Agave 100% Reposado""}, {""name"": ""Fresh Lime Juice"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": ""Persiano"", ""direction"": ""30 ml Fresh Lime Juice (Persiano)"", ""raw"": ""30 ml Fresh Lime Juice Persiano""}, {""name"": ""Agave Syrup"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": ""1/2 Water + 1/2 Agave Nectar"", ""direction"": ""30 ml Agave Syrup (1/2 Water + 1/2 Agave Nectar)"", ""raw"": ""30 ml Agave Syrup 1/2 Water + 1/2 Agave Nectar""}]","60 ml Tequila Agave 100% Reposado,30 ml Fresh Lime Juice (Persiano),30 ml Agave Syrup (1/2 Water + 1/2 Agave Nectar)","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled rocks glass filled with ice.",,Garnish with a lime slice.,,,,[],,,IBA
trinidad-sour,Trinidad Sour,,New Era Drinks,"[{""name"": ""Angostura Bitters"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Angostura Bitters"", ""raw"": ""45 ml Angostura Bitters""}, {""name"": ""Orgeat Syrup"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Orgeat Syrup"", ""raw"": ""30 ml Orgeat Syrup""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""22.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""22.5 ml Fresh Lemon Juice"", ""raw"": ""22.5 ml Fresh Lemon Juice""}, {""name"": ""Rye Whisky"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Rye Whisky"", ""raw"": ""15 ml Rye Whisky""}]","45 ml Angostura Bitters,30 ml Orgeat Syrup,22.5 ml Fresh Lemon Juice,15 ml Rye Whisky","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,,,,,[],,,IBA
ve-n-to,VE.N.TO,,New Era Drinks,"[{""name"": ""White Smooth Grappa"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml White Smooth Grappa"", ""raw"": ""45 ml White Smooth Grappa""}, {""name"": ""Fresh lemon Juice"", ""amount"": ""22.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""22.5 ml Fresh lemon Juice"", ""raw"": ""22.5 ml Fresh lemon Juice""}, {""name"": ""Honey mix"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": ""replace water with chamomile"", ""direction"": ""15 ml Honey mix (replace water with chamomile)"", ""raw"": ""15 ml Honey mix replace water with chamomile""}, {""name"": ""Chamomile cordial"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Chamomile cordial"", ""raw"": ""15 ml Chamomile cordial""}, {""name"": ""Egg White"", ""amount"": ""10"", ""unit"": ""ml"", ""note"": ""Optional"", ""direction"": ""10 ml Egg White (Optional)"", ""raw"": ""10 ml Egg White Optional""}]","45 ml White Smooth Grappa,22.5 ml Fresh lemon Juice,15 ml Honey mix (replace water with chamomile),15 ml Chamomile cordial,10 ml Egg White (Optional)",Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled small tumbler glass filled with ice. Notes: If desired water can be replaced by chamomile infusion in the honey mix.,,Garnish with lemon zest and white grapes.,,,,[],,,IBA
yellow-bird,Yellow Bird,,New Era Drinks,"[{""name"": ""White rum"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml White rum"", ""raw"": ""30 ml White rum""}, {""name"": ""Galliano"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Galliano"", ""raw"": ""15 ml Galliano""}, {""name"": ""Triple Sec"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Triple Sec"", ""raw"": ""15 ml Triple Sec""}, {""name"": ""Fresh Lime Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Lime Juice"", ""raw"": ""15 ml Fresh Lime Juice""}]","30 ml White rum,15 ml Galliano,15 ml Triple Sec,15 ml Fresh Lime Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into chilled cocktail glass.",,,,,,[],,,IBA
alexander,Alexander,,The Unforgettables,"[{""name"": ""Cognac"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Cognac"", ""raw"": ""30 ml Cognac""}, {""name"": ""Crème de Cacao"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": ""Brown"", ""direction"": ""30 ml Crème de Cacao (Brown)"", ""raw"": ""30 ml Crème de Cacao Brown""}, {""name"": ""Fresh Cream"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Fresh Cream"", ""raw"": ""30 ml Fresh Cream""}]","30 ml Cognac,30 ml Crème de Cacao (Brown),30 ml Fresh Cream",Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,,Sprinkle fresh ground nutmeg on top.,,,,[],,,IBA
americano,Americano,,The Unforgettables,"[{""name"": ""Bitter Campari"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Bitter Campari"", ""raw"": ""30 ml Bitter Campari""}, {""name"": ""Sweet Red Vermouth"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Sweet Red Vermouth"", ""raw"": ""30 ml Sweet Red Vermouth""}, {""name"": ""Soda Water"", ""amount"": ""1"", ""unit"": ""splash"", ""note"": """", ""direction"": ""A splash of Soda Water"", ""raw"": ""1 splash Soda Water""}]","30 ml Bitter Campari,30 ml Sweet Red Vermouth,A splash of Soda Water",Mix the ingredients directly in an old fashioned glass filled with ice cubes. Add a splash of Soda Water. Stir gently.,,Garnish with half orange slice and a lemon zest.,,,,[],,,IBA
angel-face,Angel Face,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Gin"", ""raw"": ""30 ml Gin""}, {""name"": ""Apricot Brandy"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Apricot Brandy"", ""raw"": ""30 ml Apricot Brandy""}, {""name"": ""Calvados"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Calvados"", ""raw"": ""30 ml Calvados""}]","30 ml Gin,30 ml Apricot Brandy,30 ml Calvados",Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,,,,,,[],,,IBA
aviation,Aviation,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Gin"", ""raw"": ""45 ml Gin""}, {""name"": ""Maraschino Luxardo"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Maraschino Luxardo"", ""raw"": ""15 ml Maraschino Luxardo""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Lemon Juice"", ""raw"": ""15 ml Fresh Lemon Juice""}, {""name"": ""Crème de Violette"", ""amount"": ""1"", ""unit"": ""bar spoon"", ""note"": """", ""direction"": ""1 Bar Spoon Crème de Violette"", ""raw"": ""1 bar spoon Crème de Violette""}]","45 ml Gin,15 ml Maraschino Luxardo,15 ml Fresh Lemon Juice,1 Bar Spoon Crème de Violette",Add all ingredients into a cocktail shaker. Shake with cracked ice and strain into a chilled cocktail glass.,,Optional Maraschino Cherry.,,,,[],,,IBA
between-the-sheets,Between the Sheets,,The Unforgettables,"[{""name"": ""White Rum"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml White Rum"", ""raw"": ""30 ml White Rum""}, {""name"": ""Cognac"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Cognac"", ""raw"": ""30 ml Cognac""}, {""name"": ""Triple Sec"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Triple Sec"", ""raw"": ""30 ml Triple Sec""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml Fresh Lemon Juice"", ""raw"": ""20 ml Fresh Lemon Juice""}]","30 ml White Rum,30 ml Cognac,30 ml Triple Sec,20 ml Fresh Lemon Juice",Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,,,,,,[],,,IBA
boulevardier,Boulevardier,,The Unforgettables,"[{""name"": ""Bourbon or Rye Whiskey"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Bourbon or Rye Whiskey"", ""raw"": ""45 ml Bourbon or Rye Whiskey""}, {""name"": ""Bitter Campari"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Bitter Campari"", ""raw"": ""30 ml Bitter Campari""}, {""name"": ""Sweet Red Vermouth"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Sweet Red Vermouth"", ""raw"": ""30 ml Sweet Red Vermouth""}]","45 ml Bourbon or Rye Whiskey,30 ml Bitter Campari,30 ml Sweet Red Vermouth",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,,"Garnish with orange zest, optionally a lemon zest.",,,,[],,,IBA
