id,name_en,name_ru,iba_category,ingredients_json,ingredients_raw,instructions_en,instructions_ru,garnish,glass,abv_estimate,preparation_time_minutes,taste_tags,taste_description_ru,image_url,source
brandy-crusta,Brandy Crusta,,The Unforgettables,"[{""name"": ""Brandy"", ""amount"": ""52.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""52.5 ml Brandy"", ""raw"": ""52.5 ml Brandy""}, {""name"": ""Maraschino Luxardo"", ""amount"": ""7.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""7.5 ml Maraschino Luxardo"", ""raw"": ""7.5 ml Maraschino Luxardo""}, {""name"": ""Curacao"", ""amount"": ""1"", ""unit"": ""bar spoon"", ""note"": """", ""direction"": ""1 Bar Spoon Curacao"", ""raw"": ""1 bar spoon Curacao""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Lemon Juice"", ""raw"": ""15 ml Fresh Lemon Juice""}, {""name"": ""Simple Syrup"", ""amount"": ""1"", ""unit"": ""bar spoon"", ""note"": """", ""direction"": ""1 Bar Spoon Simple Syrup"", ""raw"": ""1 bar spoon Simple Syrup""}, {""name"": ""Aromatic Bitters"", ""amount"": ""2"", ""unit"": ""dash"", ""note"": """", ""direction"": ""2 Dashes Aromatic Bitters"", ""raw"": ""2 dash Aromatic Bitters""}]","52.5 ml Brandy,7.5 ml Maraschino Luxardo,1 Bar Spoon Curacao,15 ml Fresh Lemon Juice,1 Bar Spoon Simple Syrup,2 Dashes Aromatic Bitters",Mix together all ingredients with ice cubes in a mixing glass and strain into prepared slim cocktail glass.,,"Rub a slice of orange (or lemon) around the rim of the glass and dip it in pulverized white sugar, so that the sugar will adhere to the edge of the glass. Carefully curling place the orange/lemon peel around the inside of the glass.",,,,[],,,IBA
casino,Casino,,The Unforgettables,"[{""name"": ""Old Tom Gin"", ""amount"": ""40"", ""unit"": ""ml"", ""note"": """", ""direction"": ""40 ml Old Tom Gin"", ""raw"": ""40 ml Old Tom Gin""}, {""name"": ""Maraschino Luxardo"", ""amount"": ""10"", ""unit"": ""ml"", ""note"": """", ""direction"": ""10 ml Maraschino Luxardo"", ""raw"": ""10 ml Maraschino Luxardo""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""10"", ""unit"": ""ml"", ""note"": """", ""direction"": ""10 ml Fresh Lemon Juice"", ""raw"": ""10 ml Fresh Lemon Juice""}, {""name"": ""Orange Bitters"", ""amount"": ""2"", ""unit"": ""dash"", ""note"": """", ""direction"": ""2 Dashes Orange Bitters"", ""raw"": ""2 dash Orange Bitters""}]","40 ml Old Tom Gin,10 ml Maraschino Luxardo,10 ml Fresh Lemon Juice,2 Dashes Orange Bitters","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled rocks glass with ice.",,Garnish with lemon zest and a maraschino cherry.,,,,[],,,IBA
clover-club,Clover Club,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Gin"", ""raw"": ""45 ml Gin""}, {""name"": ""Raspberry Syrup"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Raspberry Syrup"", ""raw"": ""15 ml Raspberry Syrup""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Lemon Juice"", ""raw"": ""15 ml Fresh Lemon Juice""}, {""name"": ""Egg White"", ""amount"": ""few"", ""unit"": ""drops"", ""note"": """", ""direction"": ""Few Drops of Egg White"", ""raw"": ""few drops Egg White""}]","45 ml Gin,15 ml Raspberry Syrup,15 ml Fresh Lemon Juice,Few Drops of Egg White","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled cocktail glass.",,Fresh raspberries.,,,,[],,,IBA
daiquiri,Daiquiri,,The Unforgettables,"[{""name"": ""White Cuban Ron"", ""amount"": ""60"", ""unit"": ""ml"", ""note"": """", ""direction"": ""60 ml White Cuban Ron"", ""raw"": ""60 ml White Cuban Ron""}, {""name"": ""Fresh Lime Juice"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml Fresh Lime Juice"", ""raw"": ""20 ml Fresh Lime Juice""}, {""name"": ""Superfine Sugar"", ""amount"": ""2"", ""unit"": ""bar spoon"", ""note"": """", ""direction"": ""2 Bar Spoons Superfine Sugar"", ""raw"": ""2 bar spoon Superfine Sugar""}]","60 ml White Cuban Ron,20 ml Fresh Lime Juice,2 Bar Spoons Superfine Sugar",In a cocktail shaker add all ingredients. Stir well to dissolve the sugar. Add ice and shake. Strain into chilled cocktail glass.,,,,,,[],,,IBA
dry-martini,Dry Martini,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""60"", ""unit"": ""ml"", ""note"": """", ""direction"": ""60 ml Gin"", ""raw"": ""60 ml Gin""}, {""name"": ""Dry Vermouth"", ""amount"": ""10"", ""unit"": ""ml"", ""note"": """", ""direction"": ""10 ml Dry Vermouth"", ""raw"": ""10 ml Dry Vermouth""}]","60 ml Gin,10 ml Dry Vermouth",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,,"Squeeze oil from lemon peel onto the drink, or garnish with green olives if requested.",,,,[],,,IBA
gin-fizz,Gin Fizz,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Gin"", ""raw"": ""45 ml Gin""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Fresh Lemon Juice"", ""raw"": ""30 ml Fresh Lemon Juice""}, {""name"": ""Simple Syrup"", ""amount"": ""10"", ""unit"": ""ml"", ""note"": """", ""direction"": ""10 ml Simple Syrup"", ""raw"": ""10 ml Simple Syrup""}, {""name"": ""Soda Water"", ""amount"": ""1"", ""unit"": ""splash"", ""note"": """", ""direction"": ""Splash of Soda Water"", ""raw"": ""1 splash Soda Water""}]","45 ml Gin,30 ml Fresh Lemon Juice,10 ml Simple Syrup,Splash of Soda Water","Shake all ingredients with ice except soda water. Pour into thin tall Tumbler glass , top with a splash soda water. NOTE: Serve without ice.",,"Garnish with a lemon slice, optional lemon zest.",,,,[],,,IBA
hanky-panky,Hanky Panky,,The Unforgettables,"[{""name"": ""London Dry Gin"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml London Dry Gin"", ""raw"": ""45 ml London Dry Gin""}, {""name"": ""Sweet Red Vermouth"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Sweet Red Vermouth"", ""raw"": ""45 ml Sweet Red Vermouth""}, {""name"": ""Fernet Branca"", ""amount"": ""7.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""7.5 ml Fernet Branca"", ""raw"": ""7.5 ml Fernet Branca""}]","45 ml London Dry Gin,45 ml Sweet Red Vermouth,7.5 ml Fernet Branca",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,,Orange zest.,,,,[],,,IBA
john-collins,John Collins,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Gin"", ""raw"": ""45 ml Gin""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Fresh Lemon Juice"", ""raw"": ""30 ml Fresh Lemon Juice""}, {""name"": ""Simple Syrup"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Simple Syrup"", ""raw"": ""15 ml Simple Syrup""}, {""name"": ""Soda Water"", ""amount"": ""60"", ""unit"": ""ml"", ""note"": """", ""direction"": ""60 ml Soda Water"", ""raw"": ""60 ml Soda Water""}]","45 ml Gin,30 ml Fresh Lemon Juice,15 ml Simple Syrup,60 ml Soda Water",Pour all ingredients directly into a highball filled with ice. Stir gently. NOTE: Use ‘Old Tom' Gin for Tom Collins.,,Garnish with a lemon slice and maraschino cherry.,,,,[],,,IBA
last-word,Last word,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""22.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""22.5 ml Gin"", ""raw"": ""22.5 ml Gin""}, {""name"": ""Green Chartreuse"", ""amount"": ""22.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""22.5 ml Green Chartreuse"", ""raw"": ""22.5 ml Green Chartreuse""}, {""name"": ""Maraschino Luxardo"", ""amount"": ""22.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""22.5 ml Maraschino Luxardo"", ""raw"": ""22.5 ml Maraschino Luxardo""}, {""name"": ""Fresh Lime Juice"", ""amount"": ""22.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""22.5 ml Fresh Lime Juice"", ""raw"": ""22.5 ml Fresh Lime Juice""}]","22.5 ml Gin,22.5 ml Green Chartreuse,22.5 ml Maraschino Luxardo,22.5 ml Fresh Lime Juice",Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,,,,,,[],,,IBA
manhattan,Manhattan,,The Unforgettables,"[{""name"": ""Rye Whiskey"", ""amount"": ""50"", ""unit"": ""ml"", ""note"": """", ""direction"": ""50 ml Rye Whiskey"", ""raw"": ""50 ml Rye Whiskey""}, {""name"": ""Sweet Red Vermouth"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml Sweet Red Vermouth"", ""raw"": ""20 ml Sweet Red Vermouth""}, {""name"": ""Angostura Bitters"", ""amount"": ""1"", ""unit"": ""dash"", ""note"": """", ""direction"": ""1 dash Angostura Bitters"", ""raw"": ""1 dash Angostura Bitters""}]","50 ml Rye Whiskey,20 ml Sweet Red Vermouth,1 dash Angostura Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,,Garnish with a cocktail cherry.,,,,[],,,IBA
martinez,Martinez,,The Unforgettables,"[{""name"": ""London Dry Gin"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml London Dry Gin"", ""raw"": ""45 ml London Dry Gin""}, {""name"": ""Sweet Red Vermouth"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Sweet Red Vermouth"", ""raw"": ""45 ml Sweet Red Vermouth""}, {""name"": ""Maraschino Liqueur"", ""amount"": ""1"", ""unit"": ""bar spoon"", ""note"": """", ""direction"": ""1 Bar Spoon Maraschino Liqueur"", ""raw"": ""1 bar spoon Maraschino Liqueur""}, {""name"": ""Orange Bitters"", ""amount"": ""2"", ""unit"": ""dash"", ""note"": """", ""direction"": ""2 Dashes Orange Bitters"", ""raw"": ""2 dash Orange Bitters""}]","45 ml London Dry Gin,45 ml Sweet Red Vermouth,1 Bar Spoon Maraschino Liqueur,2 Dashes Orange Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,,Lemon zest.,,,,[],,,IBA
mary-pickford,Mary Pickford,,The Unforgettables,"[{""name"": ""White Rum"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml White Rum"", ""raw"": ""45 ml White Rum""}, {""name"": ""Fresh Pineapple Juice"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Fresh Pineapple Juice"", ""raw"": ""45 ml Fresh Pineapple Juice""}, {""name"": ""Maraschino Luxardo"", ""amount"": ""7.5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""7.5 ml Maraschino Luxardo"", ""raw"": ""7.5 ml Maraschino Luxardo""}, {""name"": ""Grenadine Syrup"", ""amount"": ""5"", ""unit"": ""ml"", ""note"": """", ""direction"": ""5 ml Grenadine Syrup"", ""raw"": ""5 ml Grenadine Syrup""}]","45 ml White Rum,45 ml Fresh Pineapple Juice,7.5 ml Maraschino Luxardo,5 ml Grenadine Syrup","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,,,,,[],,,IBA
monkey-gland,Monkey Gland,,The Unforgettables,"[{""name"": ""Dry Gin"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Dry Gin"", ""raw"": ""45 ml Dry Gin""}, {""name"": ""Fresh Orange Juice"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Fresh Orange Juice"", ""raw"": ""45 ml Fresh Orange Juice""}, {""name"": ""Absinthe"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""note"": """", ""direction"": ""1 Table Spoon Absinthe"", ""raw"": ""1 tablespoon Absinthe""}, {""name"": ""Grenadine Syrup"", ""amount"": ""1"", ""unit"": ""tablespoon"", ""note"": """", ""direction"": ""1 Table Spoon Grenadine Syrup"", ""raw"": ""1 tablespoon Grenadine Syrup""}]","45 ml Dry Gin,45 ml Fresh Orange Juice,1 Table Spoon Absinthe,1 Table Spoon Grenadine Syrup","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,,,,,[],,,IBA
negroni,Negroni,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Gin"", ""raw"": ""30 ml Gin""}, {""name"": ""Bitter Campari"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Bitter Campari"", ""raw"": ""30 ml Bitter Campari""}, {""name"": ""Sweet Red Vermouth"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Sweet Red Vermouth"", ""raw"": ""30 ml Sweet Red Vermouth""}]","30 ml Gin,30 ml Bitter Campari,30 ml Sweet Red Vermouth","Pour all ingredients directly into a chilled old fashioned glass filled with ice, Stir gently.",,Garnish with a half orange slice.,,,,[],,,IBA
old-fashioned,Old Fashioned,,The Unforgettables,"[{""name"": ""Bourbon or Rye Whiskey"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Bourbon or Rye Whiskey"", ""raw"": ""45 ml Bourbon or Rye Whiskey""}, {""name"": ""Sugar Cube"", ""amount"": ""1"", ""unit"": ""piece"", ""note"": """", ""direction"": ""1 Sugar Cube"", ""raw"": ""1 piece Sugar Cube""}, {""name"": ""Angostura Bitters"", ""amount"": ""few"", ""unit"": ""dash"", ""note"": """", ""direction"": ""Few Dashes Angostura Bitters"", ""raw"": ""few dash Angostura Bitters""}, {""name"": ""Plain Water"", ""amount"": ""few"", ""unit"": ""dash"", ""note"": """", ""direction"": ""Few Dashes Plain Water"", ""raw"": ""few dash Plain Water""}]","45 ml Bourbon or Rye Whiskey,1 Sugar Cube,Few Dashes Angostura Bitters,Few Dashes Plain Water","Place sugar cube in old fashioned glass and saturate with bitter, add few dashes of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Stir gently.",,"Garnish with an orange slice or zest, and a cocktail cherry.",,,,[],,,IBA
paradise,Paradise,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Gin"", ""raw"": ""30 ml Gin""}, {""name"": ""Apricot Brandy"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml Apricot Brandy"", ""raw"": ""20 ml Apricot Brandy""}, {""name"": ""Fresh Orange Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Orange Juice"", ""raw"": ""15 ml Fresh Orange Juice""}]","30 ml Gin,20 ml Apricot Brandy,15 ml Fresh Orange Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",,,,,,[],,,IBA
planters-punch,Planter's Punch,,The Unforgettables,"[{""name"": ""Jamaican Rum"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Jamaican Rum"", ""raw"": ""45 ml Jamaican Rum""}, {""name"": ""Lime Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Lime Juice"", ""raw"": ""15 ml Lime Juice""}, {""name"": ""Sugar Cane Juice"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Sugar Cane Juice"", ""raw"": ""30 ml Sugar Cane Juice""}]","45 ml Jamaican Rum,15 ml Lime Juice,30 ml Sugar Cane Juice","Pour all ingredients directly in a small tumbler or a typical terracotta glass. NOTE: Add dilution up to taste, it can be given by water, ice or fresh juices.",,Garnish with orange zest.,,,,[],,,IBA
porto-flip,Porto Flip,,The Unforgettables,"[{""name"": ""Brandy"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Brandy"", ""raw"": ""15 ml Brandy""}, {""name"": ""Red Tawny Port Wine"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Red Tawny Port Wine"", ""raw"": ""45 ml Red Tawny Port Wine""}, {""name"": ""Egg Yolk"", ""amount"": ""10"", ""unit"": ""ml"", ""note"": """", ""direction"": ""10 ml Egg Yolk"", ""raw"": ""10 ml Egg Yolk""}]","15 ml Brandy,45 ml Red Tawny Port Wine,10 ml Egg Yolk","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,Sprinkle with fresh ground nutmeg.,,,,[],,,IBA
ramos-fizz,Ramos Fizz,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Gin"", ""raw"": ""45 ml Gin""}, {""name"": ""Fresh Lime Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Lime Juice"", ""raw"": ""15 ml Fresh Lime Juice""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""15"", ""unit"": ""ml"", ""note"": """", ""direction"": ""15 ml Fresh Lemon Juice"", ""raw"": ""15 ml Fresh Lemon Juice""}, {""name"": ""Sugar Syrup"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Sugar Syrup"", ""raw"": ""30 ml Sugar Syrup""}, {""name"": ""Cream"", ""amount"": ""60"", ""unit"": ""ml"", ""note"": """", ""direction"": ""60 ml Cream"", ""raw"": ""60 ml Cream""}, {""name"": ""Egg white"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Egg white"", ""raw"": ""30 ml Egg white""}, {""name"": ""Orange Flower Water"", ""amount"": ""3"", ""unit"": ""dash"", ""note"": """", ""direction"": ""3 Dashes Orange Flower Water"", ""raw"": ""3 dash Orange Flower Water""}, {""name"": ""Vanilla Extract"", ""amount"": ""2"", ""unit"": ""drops"", ""note"": """", ""direction"": ""2 Drops Vanilla Extract"", ""raw"": ""2 drops Vanilla Extract""}, {""name"": ""Soda Water"", ""amount"": ""1"", ""unit"": ""top up"", ""note"": """", ""direction"": ""Soda Water"", ""raw"": ""1 top up Soda Water""}]","45 ml Gin,15 ml Fresh Lime Juice,15 ml Fresh Lemon Juice,30 ml Sugar Syrup,60 ml Cream,30 ml Egg white,3 Dashes Orange Flower Water,2 Drops Vanilla Extract,Soda Water","Pour all ingredients except soda water in a cocktail shaker with ice, Shake for two minutes, double strain in a glass, pour the drink back in the shaker, and hard shake without ice for one minute. Strain into a highball glass, top up with soda. NOTE: The drink was invented by Henry Ramos in 1888, at his bar Meyer's Table d'Hôtel Internationale in New Orleans. The Ramos Fizz was originally shaken for 12 minutes by a crew of 30 bartenders who passed the shaker from one to another.",,,,,,[],,,IBA
rusty-nail,Rusty Nail,,The Unforgettables,"[{""name"": ""Scotch Whisky"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Scotch Whisky"", ""raw"": ""45 ml Scotch Whisky""}, {""name"": ""Drambuie"", ""amount"": ""25"", ""unit"": ""ml"", ""note"": """", ""direction"": ""25 ml Drambuie"", ""raw"": ""25 ml Drambuie""}]","45 ml Scotch Whisky,25 ml Drambuie",Pour all ingredients directly into an old fashioned glass filled with ice. Stir gently.,,Garnish with lemon zest.,,,,[],,,IBA
sazerac,Sazerac,,The Unforgettables,"[{""name"": ""Cognac"", ""amount"": ""50"", ""unit"": ""ml"", ""note"": """", ""direction"": ""50 ml Cognac"", ""raw"": ""50 ml Cognac""}, {""name"": ""Absinthe"", ""amount"": ""10"", ""unit"": ""ml"", ""note"": """", ""direction"": ""10 ml Absinthe"", ""raw"": ""10 ml Absinthe""}, {""name"": ""Sugar Cube"", ""amount"": ""1"", ""unit"": ""piece"", ""note"": """", ""direction"": ""1 Sugar Cube"", ""raw"": ""1 piece Sugar Cube""}, {""name"": ""Peychaud's Bitters"", ""amount"": ""2"", ""unit"": ""dash"", ""note"": """", ""direction"": ""2 Dashes Peychaud's Bitters"", ""raw"": ""2 dash Peychaud's Bitters""}]","50 ml Cognac,10 ml Absinthe,1 Sugar Cube,2 Dashes Peychaud's Bitters","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice in a mixing glass. Discard the ice and any excess absinthe from the prepared glass, strain the mixed drink into the glass. NOTE: The original recipe changed after the American Civil War, Rye Whiskey substituted Cognac as it became hard to obtain.",,Garnish with lemon zest.,,,,[],,,IBA
sidecar,Sidecar,,The Unforgettables,"[{""name"": ""Cognac"", ""amount"": ""50"", ""unit"": ""ml"", ""note"": """", ""direction"": ""50 ml Cognac"", ""raw"": ""50 ml Cognac""}, {""name"": ""Triple Sec"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml Triple Sec"", ""raw"": ""20 ml Triple Sec""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml Fresh Lemon Juice"", ""raw"": ""20 ml Fresh Lemon Juice""}]","50 ml Cognac,20 ml Triple Sec,20 ml Fresh Lemon Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,,,,,[],,,IBA
stinger,Stinger,,The Unforgettables,"[{""name"": ""Cognac"", ""amount"": ""50"", ""unit"": ""ml"", ""note"": """", ""direction"": ""50 ml Cognac"", ""raw"": ""50 ml Cognac""}, {""name"": ""White Crème de Menthe"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml White Crème de Menthe"", ""raw"": ""20 ml White Crème de Menthe""}]","50 ml Cognac,20 ml White Crème de Menthe",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,,Optional mint leave.,,,,[],,,IBA
tuxedo,Tuxedo,,The Unforgettables,"[{""name"": ""Old Tom Gin"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Old Tom Gin"", ""raw"": ""30 ml Old Tom Gin""}, {""name"": ""Dry Vermouth"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Dry Vermouth"", ""raw"": ""30 ml Dry Vermouth""}, {""name"": ""Maraschino Luxardo"", ""amount"": ""1/2"", ""unit"": ""bar spoon"", ""note"": """", ""direction"": ""1/2 Bar Spoon Maraschino Luxardo"", ""raw"": ""1/2 bar spoon Maraschino Luxardo""}, {""name"": ""Absinthe"", ""amount"": ""1/4"", ""unit"": ""bar spoon"", ""note"": """", ""direction"": ""1/4 Bar Spoon of Absinthe"", ""raw"": ""1/4 bar spoon Absinthe""}, {""name"": ""Orange Bitters"", ""amount"": ""3"", ""unit"": ""dash"", ""note"": """", ""direction"": ""3 Dashes Orange Bitters"", ""raw"": ""3 dash Orange Bitters""}]","30 ml Old Tom Gin,30 ml Dry Vermouth,1/2 Bar Spoon Maraschino Luxardo,1/4 Bar Spoon of Absinthe,3 Dashes Orange Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,,Garnish with cherry and lemon zest,,,,[],,,IBA
vieux-carr,Vieux Carrè,,The Unforgettables,"[{""name"": ""Rye Whiskey"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Rye Whiskey"", ""raw"": ""30 ml Rye Whiskey""}, {""name"": ""Cognac"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Cognac"", ""raw"": ""30 ml Cognac""}, {""name"": ""Sweet Vermouth"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Sweet Vermouth"", ""raw"": ""30 ml Sweet Vermouth""}, {""name"": ""Bénédictine"", ""amount"": ""1"", ""unit"": ""bar spoon"", ""note"": """", ""direction"": ""1 Bar Spoon Bénédictine"", ""raw"": ""1 bar spoon Bénédictine""}, {""name"": ""Peychaud's Bitters"", ""amount"": ""2"", ""unit"": ""dash"", ""note"": """", ""direction"": ""2 Dashes Peychaud's Bitters"", ""raw"": ""2 dash Peychaud's Bitters""}]","30 ml Rye Whiskey,30 ml Cognac,30 ml Sweet Vermouth,1 Bar Spoon Bénédictine,2 Dashes Peychaud's Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,,Garnish with orange zest and maraschino cherry.,,,,[],,,IBA
whiskey-sour,Whiskey Sour,,The Unforgettables,"[{""name"": ""Bourbon Whiskey"", ""amount"": ""45"", ""unit"": ""ml"", ""note"": """", ""direction"": ""45 ml Bourbon Whiskey"", ""raw"": ""45 ml Bourbon Whiskey""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""25"", ""unit"": ""ml"", ""note"": """", ""direction"": ""25 ml Fresh Lemon Juice"", ""raw"": ""25 ml Fresh Lemon Juice""}, {""name"": ""Sugar Syrup"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml Sugar Syrup"", ""raw"": ""20 ml Sugar Syrup""}, {""name"": ""Egg White"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": ""Optional"", ""direction"": ""20 ml Egg White (Optional)"", ""raw"": ""20 ml Egg White Optional""}]","45 ml Bourbon Whiskey,25 ml Fresh Lemon Juice,20 ml Sugar Syrup,20 ml Egg White (Optional)","Pour all ingredients into a cocktail shaker filled with ice. Shake well. Strain into cobbler glass. If served “On the rocks”, strain ingredients into an old fashioned glass filled with ice. NOTE: If egg white is used shake little harder to release and incorporate the foam from the egg white.",,"Garnish with a half orange slice and maraschino cherry, optionally use orange zest.",,,,[],,,IBA
white-lady,White Lady,,The Unforgettables,"[{""name"": ""Gin"", ""amount"": ""40"", ""unit"": ""ml"", ""note"": """", ""direction"": ""40 ml Gin"", ""raw"": ""40 ml Gin""}, {""name"": ""Triple Sec"", ""amount"": ""30"", ""unit"": ""ml"", ""note"": """", ""direction"": ""30 ml Triple Sec"", ""raw"": ""30 ml Triple Sec""}, {""name"": ""Fresh Lemon Juice"", ""amount"": ""20"", ""unit"": ""ml"", ""note"": """", ""direction"": ""20 ml Fresh Lemon Juice"", ""raw"": ""20 ml Fresh Lemon Juice""}]","40 ml Gin,30 ml Triple Sec,20 ml Fresh Lemon Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",,,,,,[],,,IBA
